NSCE  Elapsed_Time  RainFact    Ksat    WM    B    IM    KE    coeM    expM    coeR    coeS    KS    KI  
-3.319527e-01:  36.4688   1.214523  158.233264  441.065140  3.872151  0.294303  1.381049  43.342243  0.591569  0.799769  0.215205  1.448556  0.089274 
-2.634265e-01:  36.9375   1.399492  107.175353  480.321776  2.965631  2.194368  0.618029  126.918323  0.470368  1.159524  1.177393  0.858060  0.144056 
-1.718146e+00:  36.9688   0.863694  69.096867  100.175035  3.127657  2.535280  0.493778  95.015106  0.987231  0.902697  2.257469  1.851994  3.505678 
-7.167436e-02:  38.1250   0.747028  29.969364  206.791199  4.393226  2.498024  0.544907  37.314588  0.241562  1.442682  1.874901  0.354211  1.625179 
-1.489834e+00:  38.4844   1.032783  72.028914  389.983444  4.770530  2.677075  0.889387  81.750298  0.799535  1.392051  1.673942  1.486147  2.918523 
-5.436084e-01:  38.7656   1.015322  39.354610  279.868860  1.471278  1.572535  0.481907  68.879054  0.207749  1.021697  1.709995  1.297994  3.232627 
-4.519269e-01:  38.4531   0.880951  102.541013  234.758624  3.222161  1.941979  0.645194  101.556039  0.829824  1.149209  2.397907  1.220587  1.425595 
-4.724123e-01:  39.8594   0.627319  41.044895  54.391777  0.471039  2.078003  0.224730  108.391255  0.280102  0.704483  2.696955  1.512722  0.241666 
-3.589929e-01:  40.0313   1.014042  93.551664  290.035146  3.805286  2.034809  0.918504  99.679120  0.457634  1.224296  2.298459  0.784659  2.496888 
-1.383650e-01:  40.0469   0.734935  2.389526  158.429143  3.357154  2.001015  0.353571  66.253796  0.804963  1.126049  3.205063  0.613423  0.511478 
-5.365486e-01:  42.9844   1.269213  181.531166  110.292595  5.449372  2.571334  1.427547  101.154948  0.378119  0.659871  0.003465  0.724125  2.480624 
-6.384594e+00:  39.7188   1.292958  109.837025  60.716508  5.985121  2.149029  1.272742  127.301789  0.678894  1.254958  2.686177  1.925503  3.671707 
-2.868311e-01:  39.6875   1.177160  44.384034  363.659711  2.390810  0.755215  1.077759  76.595546  0.892012  0.593479  2.216486  0.832145  0.960061 
-4.751783e-01:  39.8281   0.844635  183.918096  161.066950  0.253092  0.221942  0.938460  144.737141  0.257635  1.466488  1.909345  0.134383  3.671005 
-3.801243e-01:  40.0469   0.930186  178.194447  486.258324  5.116612  0.631043  0.671246  118.916041  0.713501  1.016378  3.161048  0.875521  1.584908 
-6.264380e-01:  37.5469   1.064651  60.888663  139.064248  2.695407  2.729953  0.780647  83.393905  0.644518  0.994050  2.593230  1.104110  1.109436 
-2.852142e-02:  38.3125   0.900246  74.067002  149.744398  0.428621  3.866856  0.281455  12.315509  0.857000  1.093090  2.019489  0.492327  2.068298 
-3.781922e-01:  37.8750   0.781747  52.498688  138.580071  5.631046  1.212033  0.689853  135.746702  1.036853  0.899558  0.340946  0.750086  3.159148 
